DateTime,Quality status,Resolution code,Net regulation volume,System imbalance,Alpha,Marginal incremental price,Marginal decremental price,Strategic reserve price,Positive imbalance price,Negative imbalance price
2023-01-01T23:45:00+01:00,Validated,PT15M,-192.451,172.693,0.94,175,-175,,-175.94,-175.94
2023-01-01T23:30:00+01:00,Validated,PT15M,-303.386,306.275,3.1,175,-168,,-171.1,-171.1
2023-01-01T23:15:00+01:00,Validated,PT15M,-322.401,303.325,2.45,175,-168,,-170.45,-170.45
2023-01-01T23:00:00+01:00,Validated,PT15M,-275.659,272.753,6.32,175,68.53,,62.21,62.21
2023-01-01T22:45:00+01:00,Validated,PT15M,-232.74,182.27,3.31,182.8,-175,,-178.31,-178.31
2023-01-01T22:30:00+01:00,Validated,PT15M,-495.955,473.545,21.25,179.88,-29.03,,-50.28,-50.28
2023-01-01T22:15:00+01:00,Validated,PT15M,-166.282,172.63,4.63,189.32,0,,-4.63,-4.63
2023-01-01T22:00:00+01:00,Validated,PT15M,-319.196,240.887,0.72,329.98,-192.78,,-193.5,-193.5
2023-01-01T21:45:00+01:00,Validated,PT15M,-193.861,372.547,3.29,179.87,-143.07,,-146.36,-146.36
2023-01-01T21:30:00+01:00,Validated,PT15M,-183.416,164.627,0.19,179.87,-186.66,,-186.85,-186.85
2023-01-01T21:15:00+01:00,Validated,PT15M,-120.669,181.325,0.48,179.87,-141.18,,-141.66,-141.66
2023-01-01T21:00:00+01:00,Validated,PT15M,-141.592,94.948,0,186.92,-129.36,,-129.36,-129.36
2023-01-01T20:45:00+01:00,Validated,PT15M,-46.688,71.85,0,184.87,-147.44,,-147.44,-147.44
2023-01-01T20:30:00+01:00,Validated,PT15M,-20.287,30.644,0,300,-26.98,,-26.98,-26.98
2023-01-01T20:15:00+01:00,Validated,PT15M,79.984,-85.87,0,300,52.74,,300,300
2023-01-01T20:00:00+01:00,Validated,PT15M,143.704,-176.535,0.67,300,68.58,,300.67,300.67
2023-01-01T19:45:00+01:00,Validated,PT15M,67.981,-74.105,0,408.11,-283.34,,408.11,408.11
2023-01-01T19:30:00+01:00,Validated,PT15M,226.007,-220.121,0,427.2,-47.38,,427.2,427.2
2023-01-01T19:15:00+01:00,Validated,PT15M,366.325,-381.301,0,408.11,-10,,408.11,408.11
2023-01-01T19:00:00+01:00,Validated,PT15M,309.805,-328.288,5.27,184.87,-5,,190.14,190.14
2023-01-01T18:45:00+01:00,Validated,PT15M,82.232,-102.575,0,223.4,-5.93,,223.4,223.4
2023-01-01T18:30:00+01:00,Validated,PT15M,-36.006,33.657,0,226.49,-139.88,,-139.88,-139.88
2023-01-01T18:15:00+01:00,Validated,PT15M,-7.089,4.988,0,223.4,-6.77,,-6.77,-6.77
2023-01-01T18:00:00+01:00,Validated,PT15M,-21.912,-0.627,0,229.4,-53.24,,229.4,229.4
2023-01-01T17:45:00+01:00,Validated,PT15M,-3.441,-10.012,0,229.4,-6.52,,229.4,229.4
2023-01-01T17:30:00+01:00,Validated,PT15M,-68.403,49.296,0,229.4,-5,,-5,-5
2023-01-01T17:15:00+01:00,Validated,PT15M,18.943,-38.942,0,229.4,-5.07,,229.4,229.4
2023-01-01T17:00:00+01:00,Validated,PT15M,131.57,-136.245,0,309.47,-10,,309.47,309.47
2023-01-01T16:45:00+01:00,Validated,PT15M,196.23,-478.847,13.48,291.35,-10,,304.83,304.83
2023-01-01T16:30:00+01:00,Validated,PT15M,79.632,-167.056,0.99,226.44,-10,,227.43,227.43
2023-01-01T16:15:00+01:00,Validated,PT15M,38.436,-61.535,0,184.87,-10,,184.87,184.87
2023-01-01T16:00:00+01:00,Validated,PT15M,-17.506,-1.102,0,184.87,-10,,184.87,184.87
2023-01-01T15:45:00+01:00,Validated,PT15M,164.238,-178.442,1.44,226.95,-10,,228.38,228.38
2023-01-01T15:30:00+01:00,Validated,PT15M,55.277,-100.03,0,194.65,-10,,194.65,194.65
2023-01-01T15:15:00+01:00,Validated,PT15M,-73.299,61.309,0,184.87,-10,,-10,-10
2023-01-01T15:00:00+01:00,Validated,PT15M,-162.114,162.499,2.49,184.87,-10,,-12.49,-12.49
2023-01-01T14:45:00+01:00,Validated,PT15M,139.907,-175.765,0.95,282.17,-10,,283.12,283.12
2023-01-01T14:30:00+01:00,Validated,PT15M,59.244,-98.864,0,194.68,-10,,194.68,194.68
2023-01-01T14:15:00+01:00,Validated,PT15M,-67.865,43.434,0,271.12,-84.9,,-84.9,-84.9
2023-01-01T14:00:00+01:00,Validated,PT15M,-209.442,261.488,1.36,184.87,-55.51,,-56.87,-56.87
2023-01-01T13:45:00+01:00,Validated,PT15M,53.413,-33.557,0,304.25,-10.76,,304.25,304.25
2023-01-01T13:30:00+01:00,Validated,PT15M,138.755,-146.763,0,304.25,-10,,304.25,304.25
2023-01-01T13:15:00+01:00,Validated,PT15M,126.889,-132.997,0,184.87,-10,,184.87,184.87
2023-01-01T13:00:00+01:00,Validated,PT15M,63.817,-119.72,0,184.87,-15,,184.87,184.87
2023-01-01T12:45:00+01:00,Validated,PT15M,-131.124,133.035,0,179.87,-15.96,,-15.96,-15.96
2023-01-01T12:30:00+01:00,Validated,PT15M,-47.372,55.46,0,249.7,-163,,-163,-163
2023-01-01T12:15:00+01:00,Validated,PT15M,-152.397,66.22,0,232.81,-163,,-163,-163
2023-01-01T12:00:00+01:00,Validated,PT15M,-190.887,317.369,11.86,179.87,-87,,-98.86,-98.86
2023-01-01T11:45:00+01:00,Validated,PT15M,-322.873,303.948,10.52,183.12,-163,,-173.52,-173.52
2023-01-01T11:30:00+01:00,Validated,PT15M,-484.937,476.106,16.77,180.36,-163,,-179.77,-179.77
2023-01-01T11:15:00+01:00,Validated,PT15M,-367.783,399.561,24.01,265.97,-87,,-111.01,-111.01
2023-01-01T11:00:00+01:00,Validated,PT15M,-454.583,330.124,2.28,315.78,-163,,-165.28,-165.28
2023-01-01T10:45:00+01:00,Validated,PT15M,-228.476,215.569,2.84,179.87,-87,,-89.84,-89.84
2023-01-01T10:30:00+01:00,Validated,PT15M,-150.596,208.689,4.84,179.87,-65,,-69.84,-69.84
2023-01-01T10:15:00+01:00,Validated,PT15M,-236.923,263.405,4,179.87,-84.9,,-88.9,-88.9
2023-01-01T10:00:00+01:00,Validated,PT15M,-226.17,204.353,1.59,55,-20.71,,-22.3,-22.3
2023-01-01T09:45:00+01:00,Validated,PT15M,-24.283,82.922,0,55,-8.18,,-8.18,-8.18
2023-01-01T09:30:00+01:00,Validated,PT15M,28.229,-3.97,0,55,-8.36,,55,55
2023-01-01T09:15:00+01:00,Validated,PT15M,86.005,-64.85,0,55,-3.25,,55,55
2023-01-01T09:00:00+01:00,Validated,PT15M,-149.533,182.451,0.74,55,-17.17,,-17.91,-17.91
2023-01-01T08:45:00+01:00,Validated,PT15M,59.065,1.45,0,304.25,-7.18,,-7.18,-7.18
2023-01-01T08:30:00+01:00,Validated,PT15M,120.748,-91.788,0,55,-0.47,,55,55
2023-01-01T08:15:00+01:00,Validated,PT15M,127.617,-101.809,0,113.19,0.61,,113.19,113.19
2023-01-01T08:00:00+01:00,Validated,PT15M,-83.504,93.937,0,55,-15.08,,-15.08,-15.08
2023-01-01T07:45:00+01:00,Validated,PT15M,7.887,22.865,0,60,-10,,-10,-10
2023-01-01T07:30:00+01:00,Validated,PT15M,-5.031,14.985,0,60,-11.62,,-11.62,-11.62
2023-01-01T07:15:00+01:00,Validated,PT15M,-23.32,63.141,0,60,-13.9,,-13.9,-13.9
2023-01-01T07:00:00+01:00,Validated,PT15M,-12.179,40.273,0,60,-10,,-10,-10
2023-01-01T06:45:00+01:00,Validated,PT15M,-1.838,29.501,0,60,-10,,-10,-10
2023-01-01T06:30:00+01:00,Validated,PT15M,5.019,19.824,0,60,-10,,-10,-10
2023-01-01T06:15:00+01:00,Validated,PT15M,-98.029,97.737,0,60,-15.19,,-15.19,-15.19
2023-01-01T06:00:00+01:00,Validated,PT15M,55.587,11.139,0,60,-11.29,,-11.29,-11.29
2023-01-01T05:45:00+01:00,Validated,PT15M,40.48,-27.525,0,60,-84.9,,60,60
2023-01-01T05:30:00+01:00,Validated,PT15M,-78.585,86.038,0,60,-84.9,,-84.9,-84.9
2023-01-01T05:15:00+01:00,Validated,PT15M,-108.305,149.652,0,60,-12.23,,-12.23,-12.23
2023-01-01T05:00:00+01:00,Validated,PT15M,-161.931,160.164,1.45,60,-15.96,,-17.41,-17.41
2023-01-01T04:45:00+01:00,Validated,PT15M,-62.941,111.17,0,60,-10.35,,-10.35,-10.35
2023-01-01T04:30:00+01:00,Validated,PT15M,-18.12,41.192,0,60,-10,,-10,-10
2023-01-01T04:15:00+01:00,Validated,PT15M,-71.925,93.502,0,60,-84.9,,-84.9,-84.9
2023-01-01T04:00:00+01:00,Validated,PT15M,-43.938,62.562,0,115.76,-84.9,,-84.9,-84.9
2023-01-01T03:45:00+01:00,Validated,PT15M,-119.378,124.227,0,60,-84.9,,-84.9,-84.9
2023-01-01T03:30:00+01:00,Validated,PT15M,-208.106,205.107,2.4,60,-66.69,,-69.1,-69.1
2023-01-01T03:15:00+01:00,Validated,PT15M,-126.323,175.199,2.07,60,-13.4,,-15.47,-15.47
2023-01-01T03:00:00+01:00,Validated,PT15M,-155.483,141.366,0,60,-17.07,,-17.07,-17.07
2023-01-01T02:45:00+01:00,Validated,PT15M,-143.016,209.302,1.97,60,-18.96,,-20.92,-20.92
2023-01-01T02:30:00+01:00,Validated,PT15M,-60.727,104.238,0,60,-12.37,,-12.37,-12.37
2023-01-01T02:15:00+01:00,Validated,PT15M,-43.298,95.284,0,130.5,-15.98,,-15.98,-15.98
2023-01-01T02:00:00+01:00,Validated,PT15M,43.57,-55.797,0,208.21,-84.9,,208.21,208.21
2023-01-01T01:45:00+01:00,Validated,PT15M,-177.015,209.798,3.25,55,-15.93,,-19.18,-19.18
2023-01-01T01:30:00+01:00,Validated,PT15M,-140.893,167.609,1.22,55,-15.9,,-17.12,-17.12
2023-01-01T01:15:00+01:00,Validated,PT15M,-16.627,80.57,0,178.21,-16.34,,-16.34,-16.34
2023-01-01T01:00:00+01:00,Validated,PT15M,-47.269,-25.188,0,176.87,-84.9,,176.87,176.87
2023-01-01T00:45:00+01:00,Validated,PT15M,-236.774,255.825,4.63,58.46,-8.83,,-13.46,-13.46
2023-01-01T00:30:00+01:00,Validated,PT15M,-139.818,163.714,1.45,55.39,-4.39,,-5.84,-5.84
2023-01-01T00:15:00+01:00,Validated,PT15M,-76.942,99.841,0,59.37,-4.39,,-4.39,-4.39
2023-01-01T00:00:00+01:00,Validated,PT15M,-145.361,153.32,1.09,59.39,-10.19,,-11.28,-11.28
