config,train_loss,val_loss,test_loss,input_size_e,hidden_size_lstm,layers_lstm,lr,input_size_d,output_dim
1,234531594.34283605,2619554.2499483004,2081660.7533660692,14,32,1,0.001,12,9
2,274061720.3255503,2914760.565175152,2181126.3917642883,14,32,1,0.0001,12,9
3,225330465.05816877,2659045.7886883463,2160057.8442489346,14,32,2,0.001,12,9
4,273033901.6532394,2910058.25455554,2171704.2599488543,14,32,2,0.0001,12,9
5,229800597.22207153,2629080.337437038,2127782.466572128,14,64,1,0.001,12,9
6,269332816.1993689,2869767.659624125,2171192.3844792964,14,64,1,0.0001,12,9
7,227149683.03041458,2612760.6503088153,2055546.7931147718,14,64,2,0.001,12,9
8,244389141.1352453,2735288.6641859203,2085201.0025065436,14,64,2,0.0001,12,9
9,233331837.49348772,2551995.398333527,2100200.3929521395,14,128,1,0.001,12,9
10,236980908.22803533,2638677.9384006243,2100750.266790492,14,128,1,0.0001,12,9
11,227605495.79663008,2565569.5816278383,2136425.8732401025,14,128,2,0.001,12,9
12,215832848.43152785,2663324.494998945,2212209.1191151734,14,128,2,0.0001,12,9
